var_index,var_name,portfolio_job_id,power_cap_W,start_slot,end_slot_exclusive,duration_slots,baseline_duration_minutes,mode_adjusted_duration_minutes,model_throughput_factor,total_gpus,model_power_per_gpu_kW,job_power_kW,source_file
129,x_j02_p400_s00,2,400,0,11,11,153.65,153.65,1.0,8,0.3675694379147809,2.9405555033182478,event_13_chosen_variables.csv
174,x_j03_p350_s00,3,350,0,9,9,109.78333333333332,120.42898989898988,0.9116022099447514,8,0.3309624508055901,2.647699606444721,event_13_chosen_variables.csv
246,x_j04_p400_s00,4,400,0,10,10,144.71666666666667,144.71666666666667,1.0,8,0.3675694379147809,2.9405555033182478,event_13_chosen_variables.csv
346,x_j06_p400_s00,6,400,0,11,11,164.6,164.6,1.0,8,0.3675694379147809,2.9405555033182478,event_13_chosen_variables.csv
727,x_j13_p350_s11,13,350,11,24,13,168.61666666666667,184.96737373737372,0.9116022099447514,18,0.3309624508055901,5.957324114500622,event_13_chosen_variables.csv
99,x_j02_p250_s07,2,250,7,21,14,153.65,196.7604316546763,0.7808988764044943,8,0.2430791849170746,1.9446334793365967,event_14_chosen_variables.csv
206,x_j03_p400_s16,3,400,16,24,8,109.78333333333332,109.78333333333332,1.0,8,0.3675694379147809,2.9405555033182478,event_14_chosen_variables.csv
313,x_j06_p250_s01,6,250,1,16,15,164.6,210.7827338129497,0.7808988764044943,8,0.2430791849170746,1.9446334793365967,event_14_chosen_variables.csv
500,x_j09_p300_s10,9,300,10,24,14,175.51666666666668,204.19586056644883,0.8595505617977528,16,0.2893304009205354,4.629286414728567,event_14_chosen_variables.csv
538,x_j10_p300_s02,10,300,2,16,14,175.28333333333333,203.92440087145968,0.8595505617977528,8,0.2893304009205354,2.3146432073642838,event_14_chosen_variables.csv
637,x_j12_p250_s10,12,250,10,19,9,101.81666666666666,130.38393285371703,0.7808988764044943,8,0.2430791849170746,1.9446334793365967,event_14_chosen_variables.csv
869,x_j16_p350_s00,16,350,0,10,10,136.21666666666667,149.42555555555555,0.9116022099447514,17,0.3309624508055901,5.626361663695032,event_14_chosen_variables.csv
5,x_j00_p250_s05,0,250,5,20,15,171.85,220.06690647482017,0.7808988764044943,8,0.2430791849170746,1.9446334793365967,event_15_chosen_variables.csv
127,x_j02_p350_s11,2,350,11,23,12,153.65,168.54939393939395,0.9116022099447514,8,0.3309624508055901,2.647699606444721,event_15_chosen_variables.csv
144,x_j03_p250_s01,3,250,1,11,10,109.78333333333332,140.58585131894483,0.7808988764044943,8,0.2430791849170746,1.9446334793365967,event_15_chosen_variables.csv
217,x_j04_p250_s10,4,250,10,23,13,144.71666666666667,185.3206235011991,0.7808988764044943,8,0.2430791849170746,1.9446334793365967,event_15_chosen_variables.csv
394,x_j07_p350_s00,7,350,0,7,7,92.91666666666669,101.9267676767677,0.9116022099447514,13,0.3309624508055901,4.302511860472672,event_15_chosen_variables.csv
536,x_j10_p300_s00,10,300,0,14,14,175.28333333333333,203.92440087145968,0.8595505617977528,8,0.2893304009205354,2.3146432073642838,event_15_chosen_variables.csv
684,x_j12_p400_s07,12,400,7,14,7,101.81666666666666,101.81666666666666,1.0,8,0.3675694379147809,2.9405555033182478,event_15_chosen_variables.csv
883,x_j16_p350_s14,16,350,14,24,10,136.21666666666667,149.42555555555555,0.9116022099447514,17,0.3309624508055901,5.626361663695032,event_15_chosen_variables.csv
55,x_j01_p250_s09,1,250,9,24,15,169.76666666666668,217.3990407673861,0.7808988764044943,13,0.2430791849170746,3.1600294039219694,event_16_chosen_variables.csv
